2020-02-08 19:59:42,298 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:42,922 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-department-welcomes-two-new-faculty-for-2017, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:43,495 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ucis-data-science-program-ranked-18th-in-nation-by-bcss, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:44,045 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fucis-data-science-program-ranked-18th-in-nation-by-bcss%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:44,591 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fucis-data-science-program-ranked-18th-in-nation-by-bcss%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:45,137 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ucis-data-science-program-ranked-18th-in-nation-by-bcss/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:45,683 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fstatistics-department-welcomes-two-new-faculty-for-2017%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:46,234 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fstatistics-department-welcomes-two-new-faculty-for-2017%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:46,787 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-department-welcomes-two-new-faculty-for-2017/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:47,338 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fuci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:47,885 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fuci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:48,437 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:48,987 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fnew-faculty-spotlight-statistics-professor-bin-nan-welcomes-collaboration%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
